year	pdo.jan	pdo.feb	pdo.mar	pdo.apr	pdo.may	pdo.jun	pdo.jul	pdo.aug	pdo.sep	pdo.oct	pdo.nov	pdo.dec	cui.jan	cui.feb	cui.mar	cui.apr	cui.may	cui.jun	cui.jul	cui.aug	cui.sep	cui.oct	cui.nov	cui.dec
1960	0.3	0.52	-0.21	0.09	0.91	0.64	-0.27	-0.38	-0.94	0.09	-0.23	0.17	-103	-27	-16	-25	-11	65	56	41	26	-39	-87	-87
1961	1.18	0.43	0.09	0.34	-0.06	-0.61	-1.22	-1.13	-2.01	-2.28	-1.85	-2.69	-253	-134	-91	11	1	21	51	33	42	2	-54	-39
1962	-1.29	-1.15	-1.42	-0.8	-1.22	-1.62	-1.46	-0.48	-1.58	-1.55	-0.37	-0.96	-21	-20	-6	-7	42	29	107	21	11	-19	-113	-99
1963	-0.33	-0.16	-0.54	-0.41	-0.65	-0.88	-1	-1.03	0.45	-0.52	-2.08	-1.08	13	-121	-3	-9	8	72	38	35	-5	-61	-55	-92
1964	0.01	-0.21	-0.87	-1.03	-1.91	-0.32	-0.51	-1.03	-0.68	-0.37	-0.8	-1.52	-118	13	2	57	45	32	51	40	32	-21	-48	-95
1965	-1.24	-1.16	0.04	0.62	-0.66	-0.8	-0.47	0.2	0.59	-0.36	-0.59	0.06	-89	-3	10	5	84	103	99	48	75	-33	-122	-60
1966	-0.82	-0.03	-1.29	0.06	-0.53	0.16	0.26	-0.35	-0.33	-1.17	-1.15	-0.32	-106	-27	-50	43	101	20	80	110	6	-1	-43	-159
1967	-0.2	-0.18	-1.2	-0.89	-1.24	-1.16	-0.89	-1.24	-0.72	-0.64	-0.05	-0.4	-96	-9	-15	11	88	135	134	93	15	-74	-14	-37
1968	-0.95	-0.4	-0.31	-1.03	-0.53	-0.35	0.53	0.19	0.06	-0.34	-0.44	-1.27	-102	-146	-47	47	33	59	104	21	18	-39	-121	-95
1969	-1.26	-0.95	-0.5	-0.44	-0.2	0.89	0.1	-0.81	-0.66	1.12	0.15	1.38	-45	-93	-2	-21	13	61	106	46	6	-14	-53	-157
1970	0.61	0.43	1.33	0.43	-0.49	0.06	-0.68	-1.63	-1.67	-1.39	-0.8	-0.97	-98	-71	1	25	33	46	71	73	11	-7	-54	-106
1971	-1.9	-1.74	-1.68	-1.59	-1.55	-1.55	-2.2	-0.15	0.21	-0.22	-1.25	-1.87	-32	-16	-49	-2	66	13	65	24	8	1	-40	-27
1972	-1.99	-1.83	-2.09	-1.65	-1.57	-1.87	-0.83	0.25	0.17	0.11	0.57	-0.33	-19	-103	-25	-1	34	55	52	56	19	34	-64	-68
1973	-0.46	-0.61	-0.5	-0.69	-0.76	-0.97	-0.57	-1.14	-0.51	-0.87	-1.81	-0.76	-111	-43	-1	43	25	27	76	103	3	-3	-46	-129
1974	-1.22	-1.65	-0.9	-0.52	-0.28	-0.31	-0.08	0.27	0.44	-0.1	0.43	-0.12	-36	-51	-37	2	26	80	36	72	16	6	-46	-75
1975	-0.84	-0.71	-0.51	-1.3	-1.02	-1.16	-0.4	-1.07	-1.23	-1.29	-2.08	-1.61	-33	-77	-1	35	26	98	68	40	38	-48	-79	-44
1976	-1.14	-1.85	-0.96	-0.89	-0.68	-0.67	0.61	1.28	0.82	1.11	1.25	1.22	-41	-30	-10	0	21	56	23	17	14	0	-31	-47
1977	1.65	1.11	0.72	0.3	0.31	0.42	0.19	0.64	-0.55	-0.61	-0.72	-0.69	-40	-109	8	1	9	71	73	41	7	-7	-67	-100
1978	0.34	1.45	1.34	1.29	0.9	0.15	-1.24	-0.56	-0.44	0.1	-0.07	-0.43	-145	-88	-1	-1	28	34	92	13	-5	5	-4	-4
1979	-0.58	-1.33	0.3	0.89	1.09	0.17	0.84	0.52	1	1.06	0.48	-0.42	-67	-103	0	6	34	86	30	31	0	-8	-127	-157
1980	-0.11	1.32	1.09	1.49	1.2	-0.22	0.23	0.51	0.1	1.35	0.37	-0.1	-19	-155	1	-7	52	32	103	96	9	-19	-121	-113
1981	0.59	1.46	0.99	1.45	1.75	1.69	0.84	0.18	0.42	0.18	0.8	0.67	-206	-68	-14	0	12	8	107	40	-1	-5	-103	-106
1982	0.34	0.2	0.19	-0.19	-0.58	-0.78	0.58	0.39	0.84	0.37	-0.25	0.26	-31	-72	-5	-2	79	59	51	38	12	-40	-52	-98
1983	0.56	1.14	2.11	1.87	1.8	2.36	3.51	1.85	0.91	0.96	1.02	1.69	-202	-216	-95	3	35	19	18	35	25	-1	-166	-52
1984	1.5	1.21	1.77	1.52	1.3	0.18	-0.18	-0.03	0.67	0.58	0.71	0.82	-29	-131	-33	-8	-2	37	121	37	3	-21	-138	-14
1985	1.27	0.94	0.57	0.19	0	0.18	1.07	0.81	0.44	0.29	-0.75	0.38	-63	-2	-5	5	15	52	83	46	12	-9	-3	-122
1986	1.12	1.61	2.18	1.55	1.16	0.89	1.38	0.22	0.22	1	1.77	1.77	-301	-55	-36	13	1	25	66	84	10	-7	-16	-149
1987	1.88	1.75	2.1	2.16	1.85	0.73	2.01	2.83	2.44	1.36	1.47	1.27	-147	-35	-38	-1	23	43	35	99	17	4	-90	-70
1988	0.93	1.24	1.42	0.94	1.2	0.74	0.64	0.19	-0.37	-0.1	-0.02	-0.43	-125	-6	-9	0	-6	14	66	71	17	0	-92	-20
1989	-0.95	-1.02	-0.83	-0.32	0.47	0.36	0.83	0.09	0.05	-0.12	-0.5	-0.21	-16	-15	-59	1	26	43	48	62	28	-1	-12	-22
1990	-0.3	-0.65	-0.62	0.27	0.44	0.44	0.27	0.11	0.38	-0.69	-1.69	-2.23	-47	-26	-4	11	9	15	103	25	34	-5	-38	-9
1991	-2.02	-1.19	-0.74	-1.01	-0.51	-1.47	-0.1	0.36	0.65	0.49	0.42	0.09	-34	-81	1	7	51	59	80	26	58	14	-50	-56
1992	0.05	0.31	0.67	0.75	1.54	1.26	1.9	1.44	0.83	0.93	0.93	0.53	-170	-128	4	-11	66	61	81	66	13	-4	-42	-33
1993	0.05	0.19	0.76	1.21	2.13	2.34	2.35	2.69	1.56	1.41	1.24	1.07	-55	-50	-35	-64	-4	24	65	65	41	1	-3	-97
1994	1.21	0.59	0.8	1.05	1.23	0.46	0.06	-0.79	-1.36	-1.32	-1.96	-1.79	-44	-50	-7	4	22	28	118	37	17	1	-36	-149
1995	-0.49	0.46	0.75	0.83	1.46	1.27	1.71	0.21	1.16	0.47	-0.28	0.16	-292	-12	-37	2	69	31	63	32	5	0	-78	-161
1996	0.59	0.75	1.01	1.46	2.18	1.1	0.77	-0.14	0.24	-0.33	0.09	-0.03	-45	-80	0	-53	34	69	148	70	33	-1	-18	-91
1997	0.23	0.28	0.65	1.05	1.83	2.76	2.35	2.79	2.19	1.61	1.12	0.67	-56	-2	-42	-2	1	9	58	5	-3	-13	-98	-58
1998	0.83	1.56	2.01	1.27	0.7	0.4	-0.04	-0.22	-1.21	-1.39	-0.52	-0.44	-184	-176	-1	9	20	89	60	100	61	-14	-159	-53
1999	-0.32	-0.66	-0.33	-0.41	-0.68	-1.3	-0.66	-0.96	-1.53	-2.23	-2.05	-1.63	-61	-330	-66	31	31	29	87	49	75	-2	-125	-59
2000	-2	-0.83	0.29	0.35	-0.05	-0.44	-0.66	-1.19	-1.24	-1.3	-0.53	0.52	-73	-78	-13	0	7	55	56	69	10	-4	-39	-82
2001	0.6	0.29	0.45	-0.31	-0.3	-0.47	-1.31	-0.77	-1.37	-1.37	-1.26	-0.93	-82	-18	0	0	45	37	134	20	28	2	-119	-161
2002	0.27	-0.64	-0.43	-0.32	-0.63	-0.35	-0.31	0.6	0.43	0.42	1.51	2.1	-87	-29	-6	17	14	30	103	91	24	13	-115	-221
2003	2.09	1.75	1.51	1.18	0.89	0.68	0.96	0.88	0.01	0.83	0.52	0.33	-208	0	-82	-17	27	80	93	75	28	-16	-34	-205
2004	0.43	0.48	0.61	0.57	0.88	0.04	0.44	0.85	0.75	-0.11	-0.63	-0.17	-156	-98	-5	1	16	43	53	21	17	2	0	-16
2005	0.44	0.81	1.36	1.03	1.86	1.17	0.66	0.25	-0.46	-1.32	-1.5	0.2	-75	4	-9	-10	-2	23	73	93	54	-24	-12	-85
2006	1.03	0.66	0.05	0.4	0.48	1.04	0.35	-0.65	-0.94	-0.05	-0.22	0.14	-157	0	-68	1	29	62	101	114	37	39	-118	-69
2007	0.01	0.04	-0.36	0.16	-0.1	0.09	0.78	0.5	-0.36	-1.45	-1.08	-0.58	-1	-48	-8	0	53	13	14	32	25	-9	-1	-61
2008	-1	-0.77	-0.71	-1.52	-1.37	-1.34	-1.67	-1.7	-1.55	-1.76	-1.25	-0.87	-25	-11	-9	9	34	45	49	20	31	0	-38	-19
2009	-1.4	-1.55	-1.59	-1.65	-0.88	-0.31	-0.53	0.09	0.52	0.27	-0.4	0.08	-3	-19	-5	25	13	34	81	26	2	-7	-114	-64
2010	0.83	0.82	0.44	0.78	0.62	-0.22	-1.05	-1.27	-1.61	-1.06	-0.82	-1.21	-257	-92	-29	0	9	27	119	52	0	-12	-34	-172
2011	-0.92	-0.83	-0.69	-0.42	-0.37	-0.69	-1.86	-1.74	-1.79	-1.34	-2.33	-1.79	-18	-11	-157	-1	8	24	59	64	2	-1	-39	2
2012	-1.38	-0.85	-1.05	-0.27	-1.26	-0.87	-1.52	-1.93	-2.21	-0.79	-0.59	-0.48	-62	-44	-75	-16	25	7	96	59	67	-10	-92	-83
2013	-0.13	-0.43	-0.63	-0.16	0.08	-0.78	-1.25	-1.04	-0.48	-0.87	-0.11	-0.41	-3	-4	-3	16	6	14	186	17	-1	13	-10	4
2014	0.3	0.38	0.97	1.13	1.8	0.82	0.7	0.67	1.08	1.49	1.72	2.51	-17	-62	-33	-3	9	60	100	81	5	-36	-54	-85
2015	2.45	2.3	2	1.44	1.2	1.54	1.84	1.56	1.94	1.47	0.86	1.01	-32	-20	-7	7	86	121	74	45	21	-3	-10	-161
